"","time","S","I","R","Total"
"100052",1000,1857.90899774252,3.74771899899432e-35,998142.091002257,99.8142091002259
"100053",1000,1679.50107618616,3.27749236274342e-35,998320.498923814,99.8320498923813
"100054",1000,1518.33894255349,2.89904883841768e-35,998481.661057445,99.8481661057446
"100055",1000,1372.73838440056,2.58419046747543e-35,998627.261615599,99.8627261615599
"100056",1000,1241.18075690736,2.3090267565934e-35,998758.819243091,99.8758819243093
"100057",1000,1122.29825719417,2.086723137492e-35,998877.701742805,99.8877701742804
"100058",1000,1014.85857935493,1.8989456451141e-35,998985.141420645,99.8985141420645
"100059",1000,917.751005293098,1.73090358823652e-35,999082.248994707,99.9082248994706
"100060",1000,829.974969481453,1.58726502291309e-35,999170.025030519,99.9170025030519
"100061",1000,750.625697422897,1.46869402982988e-35,999249.374302578,99.9249374302577
"100062",1000,678.889514644834,1.35852282961349e-35,999321.110485355,99.9321110485353
"100063",1000,614.031487970906,1.26812856599067e-35,999385.968512029,99.9385968512029
"100064",1000,555.388378127889,1.18303417419887e-35,999444.611621872,99.944461162187
"100065",1000,502.361592537618,1.1133311760801e-35,999497.638407462,99.949763840746
"100066",1000,454.410538213476,1.04672702014004e-35,999545.589461787,99.9545589461786
"100067",1000,411.047235138112,9.86968583296712e-36,999588.952764862,99.9588952764862
"100068",1000,371.830939079957,9.37793043509651e-36,999628.169060918,99.9628169060919
"100069",1000,336.363549589921,8.93415904242061e-36,999663.636450412,99.966363645041
"100070",1000,304.285436148915,8.49199085632806e-36,999695.714563851,99.969571456385
"100071",1000,275.271705059967,8.09843900994307e-36,999724.728294939,99.9724728294936
"100072",1000,249.028724910287,7.77639426855183e-36,999750.971275088,99.975097127509
"100073",1000,225.291172319238,7.44681786548982e-36,999774.708827682,99.977470882768
"100074",1000,203.819252106287,7.17713089697888e-36,999796.180747895,99.9796180747893
"100075",1000,184.396220883934,6.8973933983902e-36,999815.603779116,99.9815603779115
"100076",1000,166.826154217329,6.64475655309063e-36,999833.173845783,99.9833173845782
"100077",1000,150.931932849322,6.44038859856278e-36,999849.06806715,99.9849068067149
"100078",1000,136.553426041819,6.21943865637917e-36,999863.446573957,99.9863446573958
"100079",1000,123.545852357198,6.0419784792069e-36,999876.454147642,99.9876454147644
"100080",1000,111.778305962327,5.84887235300403e-36,999888.221694037,99.9888221694036
"100081",1000,101.132410498362,5.70386382693832e-36,999898.867589501,99.98988675895
"100082",1000,91.5011105942059,5.54214597654729e-36,999908.498889405,99.9908498889405
"100083",1000,82.7875975120867,5.38935639622889e-36,999917.212402486,99.9917212402486
"100084",1000,74.9043189010129,5.26945093945599e-36,999925.095681099,99.9925095681098
"100085",1000,67.7720904953527,5.13079759443646e-36,999932.227909504,99.9932227909502
"100086",1000,61.3192963240355,5.02523069948296e-36,999938.680703674,99.9938680703674
"100087",1000,55.4811544395638,4.90489916198715e-36,999944.518845559,99.9944518845558
"100088",1000,50.1990729432682,4.79226094971903e-36,999949.800927056,99.9949800927055
"100089",1000,45.4200519947266,4.7057415223848e-36,999954.579948004,99.9954579948004
