"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"21",21,99.9918618479446,0.00545854728061461,0.00267960477469741,0.00813815205531203,-7.97238271843526e-07,6.41851692280947e-07,1.55386609737226e-07,7.97238302015571e-07
"22",22,99.9900494177153,0.00666672480014605,0.00328385748447324,0.00995058228461929,-1.19880779436699e-06,9.64199036301329e-07,2.3460877169668e-07,1.19880780799324e-06
"23",23,99.9878359323871,0.00814221848551964,0.00402184912738988,0.0121640676129095,-1.80032475327607e-06,1.4467816965482e-06,3.53543070804284e-07,1.80032476734815e-06
"24",24,99.9851327065939,0.00994412538463967,0.0049231680214144,0.0148672934060541,-2.70071146246664e-06,2.16880171312155e-06,5.3190976651192e-07,2.70071147962653e-06
"25",25,99.9818314735648,0.0121445837731685,0.00602394266201043,0.0181685264351789,-4.04765208372737e-06,3.24848128654617e-06,7.99170817294449e-07,4.04765210382935e-06
"26",26,99.9778000761628,0.0148316393895224,0.00736828444766087,0.0221999238371832,-6.06157102822635e-06,4.86224366511891e-06,1.19932738200552e-06,6.06157104711749e-06
"27",27,99.9728772168738,0.0181127358954585,0.00901004723068056,0.0271227831261391,-9.07137790306933e-06,7.27330316074165e-06,1.79807474776604e-06,9.07137790850596e-06
"28",28,99.9668660647353,0.0221189626971637,0.011014972567502,0.0331339352646657,-1.35677384776045e-05,1.08742678788069e-05,2.6934705971253e-06,1.35677384759184e-05
"29",29,99.9595264755743,0.0270102202590331,0.0134633041666723,0.0404735244257054,-2.02824398911616e-05,1.62506022248106e-05,4.03183769591593e-06,2.02824399207213e-05
"30",30,99.9505655325873,0.0329814948196981,0.016452972592959,0.0494344674126571,-3.03065883429099e-05,2.42751259837692e-05,6.03146237584951e-06,3.03065883596257e-05
"31",31,99.939626056261,0.0402704714553123,0.0201034722836924,0.0603739437390047,-4.52665615284786e-05,3.62486629677528e-05,9.0178985703987e-06,4.52665615381515e-05
"32",32,99.92627266505,0.0491667570392858,0.0245605779107347,0.0737273349500205,-6.75857995702245e-05,5.41092595193055e-05,1.34765400767282e-05,6.75857995960233e-05
"33",33,99.9099748905531,0.060023032807365,0.0300020766394706,0.0900251094468355,-0.000100874062312073,8.07431915949147e-05,2.0130870742003e-05,0.0001008740623369
"34",34,99.890086763221,0.0732685093527434,0.0366447274262021,0.109913236778945,-0.000150505771458143,0.00012044690236758,3.00588691149184e-05,0.000150505771482484
"35",35,99.8658221880339,0.0894251133813996,0.0447526985846424,0.134177811966042,-0.000224478484682322,0.000179612430244849,4.48660544703008e-05,0.000224478484715102
"36",36,99.8362253270143,0.109126892345191,0.0546477806404815,0.163774672985673,-0.000334685739858287,0.000267743214890509,6.69425249712613e-05,0.000334685739861729
"37",37,99.8001351025918,0.133143174650143,0.0667217227580046,0.199864897408147,-0.000498801661663606,0.000398957284983181,9.98443767146195e-05,0.000498801661697773
