"","time","S","I","R","V","Total"
"1",1,98.9999,1e-04,1,1,1e-04
"2",2,97.9998679210033,0.000121054357017896,2.00001102463969,2,0.000132078996712616
"3",3,96.9998299875459,0.000145682445418023,3.00002433000871,3,0.000170012454126226
"4",4,95.9997854022381,0.00017430355232045,4.00004029420957,4,0.000214597761894142
"5",5,94.9997333119816,0.000207349834535012,5.00005933818391,5,0.000266688018447291
"6",6,93.9996728143858,0.000245259327222125,6.00008192628702,6,0.000327185614245357
"7",7,92.9996029651463,0.000288468160311913,7.00010856669337,7,0.00039703485368605
"8",8,91.9995227878646,0.000337401405836711,8.00013981072954,8,0.000477212135374998
"9",9,90.999431286087,0.000392462675046718,9.00017625123797,9,0.000568713913022249
"10",10,89.9993274564729,0.000454023604030218,10.0002185199231,10,0.000672543527152992
"11",11,88.9992103044276,0.000522412012232954,11.0002672835602,11,0.000789695572458102
"12",12,87.9990788609849,0.000597900004029016,12.0003232390111,12,0.000921139015169875
"13",13,86.9989322008804,0.000680692046495353,13.0003871070732,13,0.00106779911965604
"14",14,85.9987694615631,0.000770913318524232,14.0004596251184,14,0.00123053843695799
"15",15,84.9985898626208,0.000868598766520735,15.0005415386127,15,0.00141013737925966
"16",16,83.9983927251849,0.000973683226875445,16.0006335915882,16,0.00160727481512055
"17",17,82.9981774908097,0.00108599299368268,17.0007365161967,17,0.00182250919038951
"18",18,81.9979437393095,0.00120523917989425,18.0008510215106,18,0.00205626069053924
"19",19,80.9976912050251,0.00133101321634348,19.0009777817586,19,0.00230879497499537
"20",20,79.9974197909523,0.00146278482718084,20.0011174242205,20,0.00258020904772099
"21",21,78.9971295804215,0.00159990250527962,21.0012705170733,21,0.00287041957854911
"22",22,77.9968208457966,0.00174159679233325,22.0014375574111,22,0.00317915420342982
"23",23,76.9964940538432,0.00188698642406066,23.0016189597328,23,0.00350594615689172
"24",24,75.9961498675622,0.00203508725884265,24.001815045179,24,0.00385013243786448
"25",25,74.9957891443092,0.00218482388619754,25.0020260318047,25,0.00421085569089948
"26",26,73.9954129301361,0.0023350437256339,26.0022520261383,26,0.00458706986391855
"27",27,72.995022450411,0.00248453332651044,27.0024930162625,27,0.0049775495890274
"28",28,71.9946190968692,0.00263203650996587,28.0027488666209,28,0.00538090313082343
"29",29,70.9942044113566,0.00277627393057603,29.0030193147129,29,0.00579558864345361
"30",30,69.9937800666166,0.00291596358619013,30.0033039697972,30,0.00621993338342585
"31",31,68.9933478445564,0.00304984177150515,31.0036023136721,31,0.00665215544365479
"32",32,67.9929096124913,0.00317668395683376,32.0039137035519,32,0.00709038750873512
"33",33,66.992467297924,0.00329532506998825,33.0042373770061,33,0.00753270207606482
"34",34,65.9920228624543,0.00340467867172282,34.004572458874,34,0.00797713754574114
"35",35,64.99157827538,0.00350375459466798,35.0049179700253,35,0.00842172462000043
"36",36,63.9911354876142,0.00359167459747923,36.0052728377884,36,0.00886451238583965
"37",37,62.99069640647,0.0036676857008222,37.0056359078292,37,0.00930359353004503
"38",38,61.990262871846,0.00373117091604899,38.006005957238,38,0.00973712815403807
"39",39,60.9898366342733,0.00378165717902627,39.0063817085477,39,0.0101633657267675
"40",40,59.9894193352279,0.00381882036916965,40.006761844403,40,0.010580664772152
"41",41,58.9890124900369,0.0038424873814109,41.0071450225818,41,0.0109875099631817
"42",42,57.9886174736181,0.00385263530212804,42.0075298910798,42,0.0113825263819648
"43",43,56.9882355092185,0.00384938780926129,43.0079151029723,43,0.0117644907815849
"44",44,55.9878676602204,0.00383300899531593,44.0082993307844,44,0.0121323397796797
"45",45,54.9875148250136,0.00380389486072004,45.0086812801257,45,0.0124851749864599
"46",46,53.9871777348506,0.00376256277926267,46.0090597023703,46,0.0128222651495119
"47",47,52.9868569545362,0.00370963926953344,47.0094334061944,47,0.0131430454639075
"48",48,51.9865528857466,0.00364584643036993,48.0098012678231,48,0.0134471142534445
"49",49,50.986265772722,0.0035719874102854,49.0101622398678,49,0.013734227278103
"50",50,49.9859957100414,0.00348893128003068,50.0105153586786,50,0.0140042899586692
"51",51,48.9857426521648,0.00339759766664427,51.0108597501686,51,0.0142573478353012
"52",52,47.9855064244098,0.00329894148615091,52.0111946341041,52,0.0144935755902741
"53",53,46.9852867350299,0.00319393808460809,53.0115193268856,53,0.014713264970182
"54",54,45.9850831880625,0.00308356906211303,54.0118332428755,54,0.0149168119376197
"55",55,44.9848952966328,0.00296880901488812,55.0121358943524,55,0.0151047033673159
"56",56,43.9847224964185,0.00285061338847949,56.0124268901931,56,0.0152775035815881
"57",57,42.9845641590062,0.00272990759170834,57.0127059334022,57,0.0154358409938621
"58",58,41.9844196049022,0.00260757747721882,58.0129728176207,58,0.0155803950978866
"59",59,40.9842881159936,0.00248446125225932,59.0132274227543,59,0.0157118840065346
"60",60,39.9841689472886,0.00236134284694838,60.0134697098645,60,0.0158310527114744
"61",61,38.9840613378038,0.00223894672623082,61.0136997154701,61,0.0159386621963535
"62",62,37.9839645204951,0.00211793410544862,62.0139175453995,62,0.0160354795049827
"63",63,36.9838777311686,0.00199890049873255,63.0141233683328,63,0.0161222688315356
"64",64,35.9838002163296,0.00188237450946062,64.0143174091611,64,0.0161997836705216
"65",65,34.9837312399631,0.00176881775435824,65.0144999422827,65,0.016268760037009
"66",66,33.9836700892566,0.00165862580008623,66.0146712849434,66,0.0163299107434936
"67",67,32.9836160793006,0.00155212998368626,67.0148317907158,67,0.0163839206995161
"69",68,32.9835526542864,0.00140228695745854,67.0149450587561,67,0.0163473457135577
"70",69,32.9835083938757,0.00131094065893567,67.0150806654653,67,0.0163916061242544
"71",70,32.9834670159378,0.00122554264809544,67.015207441414,67,0.01643298406217
"72",71,32.9834283336821,0.00114570754641747,67.0153259587714,67,0.0164716663178952
"73",72,32.9833921713041,0.00107107263127795,67.0154367560646,67,0.0165078286958841
"74",73,32.9833583647467,0.00100129940773373,67.0155403358455,67,0.0165416352532678
"75",74,32.9833267606776,0.000936071500873144,67.0156371678215,67,0.016573239322402
"76",75,32.9832972155146,0.000875092646852112,67.0157276918385,67,0.0166027844854051
"77",76,32.9832695951139,0.000818086050281118,67.0158123188358,67,0.0166304048861202
"78",77,32.9832437741121,0.000764793028107012,67.0158914328597,67,0.0166562258879087
"79",78,32.98321963526,0.000714971635944542,67.015965393104,67,0.0166803647399704
"80",79,32.9831970689601,0.000668395714436198,67.0160345353254,67,0.0167029310398726
"81",80,32.9831759727706,0.000624853866811845,67.0160991733625,67,0.0167240272294161
"82",81,32.9831562509177,0.000584148453388445,67.0161596006288,67,0.0167437490822605
"83",82,32.9831378138672,0.000546094707137614,67.0162160914256,67,0.0167621861328042
"84",83,32.9831205779177,0.000510519896225565,67.016268902186,67,0.0167794220822616
"85",84,32.9831044648212,0.000477262539927032,67.0163182726389,67,0.0167955351788396
"86",85,32.9830894014271,0.000446171676027604,67.0163644268968,67,0.0168105985729298
"87",86,32.9830753193507,0.000417106175687875,67.0164075744735,67,0.0168246806492736
"88",87,32.9830621546626,0.000389934103026952,67.0164479112344,67,0.0168378453374324
"89",88,32.9830498475979,0.000364532116157365,67.016485620286,67,0.0168501524021496
"90",89,32.9830383422852,0.000340784907099112,67.0165208728077,67,0.016861657714855
"91",90,32.9830275864935,0.000318584680104065,67.0165538288264,67,0.0168724135065389
"92",91,32.9830175313945,0.000297830661214301,67.0165846379442,67,0.0168824686054786
"93",92,32.9830081313408,0.000278428640395606,67.0166134400187,67,0.0168918686591684
"94",93,32.9829993436587,0.000260290544444206,67.0166403657968,67,0.016900656341326
"95",94,32.9829911284545,0.000243334037458721,67.016665537508,67,0.0169088715455338
"96",95,32.9829834484336,0.000227482147000013,67.0166890694194,67,0.0169165515664247
"97",96,32.982976268731,0.000212662914726599,67.0167110683542,67,0.0169237312690017
"98",97,32.9829695567531,0.000198809069783088,67.0167316341771,67,0.0169304432469258
"99",98,32.9829632820295,0.000185857723464045,67.016750860247,67,0.0169367179704909
"100",99,32.982957416075,0.000173750083766383,67.0167688338411,67,0.0169425839249564
"101",100,32.9829519322601,0.000162431188532174,67.0167856365513,67,0.0169480677398684
"102",101,32.98294680569,0.000151849655973615,67.0168013446539,67,0.0169531943099556
"103",102,32.9829420130919,0.000141957451447396,67.0168160294566,67,0.0169579869081483
"104",103,32.9829375327088,0.000132709669420335,67.0168297576217,67,0.0169624672912341
"105",104,32.9829333442014,0.000124064329636943,67.0168425914689,67,0.0169666557986313
"106",105,32.9829294285553,0.00011598218656395,67.0168545892581,67,0.0169705714447254
"107",106,32.9829257679948,0.00010842655124709,67.0168658054539,67,0.016974232005192
"108",107,32.9829223459023,0.000101363124771735,67.0168762909728,67,0.0169776540976939
"109",108,32.9829191467427,9.47598425715984e-05,67.0168860934147,67,0.0169808532573229
"110",109,32.9829161559929,8.85867288789729e-05,67.0168952572782,67,0.0169838440071245
"111",110,32.982913360076,8.28157606559313e-05,67.0169038241633,67,0.0169866399240302
"112",111,32.9829107462995,7.7420740388984e-05,67.01691183296,67,0.0169892537004929
"113",112,32.9829083027979,7.23771771698643e-05,67.0169193200249,67,0.0169916972021074
"114",113,32.9829060184785,6.76621755227318e-05,67.0169263193459,67,0.0169939815214775
"115",114,32.9829038829714,6.32543314732235e-05,67.016932862697,67,0.016996117028573
"116",115,32.9829018865822,5.91336353876454e-05,67.0169389797823,67,0.0169981134178065
"117",116,32.9829000202479,5.52813811413214e-05,67.0169446983708,67,0.0169999797520437
"118",117,32.9828982754963,5.16800812038335e-05,67.0169500444225,67,0.0170017245037454
"119",118,32.9828966444066,4.8313387255739e-05,67.0169550422061,67,0.0170033555934307
"120",119,32.9828951195744,4.51660159764568e-05,67.0169597144096,67,0.0170048804256331
"121",120,32.9828936940775,4.22236796664751e-05,67.0169640822428,67,0.0170063059225151
"122",121,32.9828923614447,3.94730213889805e-05,67.0169681655338,67,0.0170076385552925
"123",122,32.9828911156264,3.69015543365138e-05,67.0169719828192,67,0.0170088843736118
"124",123,32.982889950967,3.4497605147435e-05,67.0169755514278,67,0.0170100490330132
"125",124,32.9828888621794,3.22502609149056e-05,67.0169788875596,67,0.0170111378206053
"126",125,32.9828878443209,3.01493196478576e-05,67.0169820063593,67,0.0170121556790667
"127",126,32.9828868927709,2.81852439590806e-05,67.0169849219851,67,0.0170131072290837
"128",127,32.9828860032097,2.63491177702129e-05,67.0169876476725,67,0.0170139967903273
"129",128,32.9828851715989,2.46326058371078e-05,67.0169901957951,67,0.0170148284010622
"130",129,32.9828843941635,2.30279159118542e-05,67.0169925779205,67,0.01701560583648
"131",130,32.9828836673742,2.1527763369693e-05,67.0169948048624,67,0.0170163326258363
"132",131,32.9828829879315,2.0125338140263e-05,67.0169968867303,67,0.0170170120684729
"133",132,32.9828823527512,1.88142737930651e-05,67.0169988329749,67,0.0170176472487956
"134",133,32.9828817589497,1.75886186368152e-05,67.0170006524315,67,0.017018241050276
"135",134,32.9828812038315,1.64428087014959e-05,67.0170023533598,67,0.0170187961685413
"136",135,32.9828806848764,1.53716424804624e-05,67.0170039434811,67,0.0170193151236122
"137",136,32.9828801997287,1.4370257317948e-05,67.0170054300139,67,0.0170198002713418
"138",137,32.9828797461859,1.3434107334782e-05,67.0170068197067,67,0.0170202538141113
"139",138,32.9828793221892,1.2558942792118e-05,67.017008118868,67,0.0170206778108274
"140",139,32.9828789258137,1.17407907994937e-05,67.0170093333954,67,0.017021074186269
"141",140,32.9828785552602,1.09759372796492e-05,67.0170104688025,67,0.0170214447398253
"142",141,32.9828782088464,1.02609101082343e-05,67.0170115302435,67,0.0170217911536639
"143",142,32.9828778849997,9.59246335186699e-06,67.0170125225369,67,0.0170221150003678
"144",143,32.9828775822499,8.96756253299449e-06,67.0170134501874,67,0.0170224177500735
"145",144,32.9828772992229,8.38337085466524e-06,67.0170143174062,67,0.0170227007771459
"146",145,32.9828770346336,7.83723632268068e-06,67.01701512813,67,0.0170229653664163
"147",146,32.982876787281,7.32667970666756e-06,67.0170158860392,67,0.0170232127190158
"148",147,32.9828765560422,6.84938328542025e-06,67.0170165945745,67,0.0170234439578279
"149",148,32.9828763398674,6.40318032542251e-06,67.0170172569522,67,0.0170236601325856
