"","time","S","I","R","Total"
"163",163,24.4041729981154,0.03419070585014,75.5616362960344,75.5958270018845
"164",164,24.4035857476154,0.0314954897624802,75.5649187626222,75.5964142523846
"165",165,24.4030448724702,0.0290126556972369,75.5679424718326,75.5969551275298
"166",166,24.4025467057362,0.0267254799900239,75.5707278142737,75.5974532942637
"167",167,24.4020878711244,0.024618554040404,75.5732935748351,75.5979121288755
"168",168,24.4016652598554,0.0226776811768872,75.5756570589677,75.5983347401445
"169",169,24.4012760093738,0.0208897815686289,75.5778342090576,75.5987239906261
"170",170,24.4009174837696,0.0192428045623719,75.5798397116681,75.5990825162304
"171",171,24.4005872557682,0.0177256478701987,75.5816870963616,75.5994127442318
"172",172,24.4002830901613,0.0163280830772767,75.5833888267614,75.5997169098386
"173",173,24.4000029285623,0.0150406869792099,75.5849563844585,75.5999970714377
"174",174,24.3997448753777,0.0138547782960707,75.5864003463262,75.6002551246222
"175",175,24.3995071848992,0.012762359344873,75.5877304557559,75.6004928151007
"176",176,24.399288249423,0.0117560622843573,75.5889556882926,75.6007117505769
"177",177,24.3990865883157,0.0108290995756676,75.5900843121087,75.6009134116843
"178",178,24.3989008379502,0.00997521832997695,75.5911239437199,75.6010991620498
"179",179,24.3987297424417,0.00918865823952819,75.5920815993187,75.6012702575582
"180",180,24.3985721451203,0.00846411281203611,75.5929637420677,75.6014278548797
"181",181,24.3984269806796,0.00779669365010185,75.5937763256704,75.6015730193204
"182",182,24.3982932679499,0.00718189753733499,75.5945248345128,75.60170673205
"183",183,24.3981701032441,0.00661557611139621,75.5952143206446,75.6018298967559
"184",184,24.3980566542306,0.00609390792127032,75.5958494378481,75.6019433457694
"185",185,24.3979521542932,0.00561337268186473,75.5964344730249,75.6020478457067
"186",186,24.3978558973367,0.00517072755359857,75.5969733751098,75.6021441026633
"187",187,24.397767233004,0.00476298528809442,75.5974697817079,75.6022327669959
"188",188,24.3976855622731,0.00438739409349316,75.5979270436335,75.6023144377269
"189",189,24.3976103334006,0.00404141908436021,75.5983482475151,75.6023896665994
"190",190,24.397541038188,0.00372272519171255,75.5987362366204,75.602458961812
"191",191,24.3974772085422,0.00342916141843737,75.5990936300394,75.6025227914577
"192",192,24.3974184133088,0.00315874633435764,75.5994228403569,75.6025815866911
"193",193,24.397364255355,0.00290965471348526,75.5997260899316,75.602635744645
"194",194,24.3973143688836,0.00268020522364292,75.6000054258928,75.6026856311164
"195",195,24.3972684169593,0.00246884908568023,75.600262733955,75.6027315830406
"196",196,24.3972260892307,0.00227415962600466,75.6004997511434,75.6027739107693
"197",197,24.397187099831,0.00209482265213546,75.6007180775169,75.6028129001689
"198",198,24.3971511854468,0.0019296275865084,75.6009191869668,75.6028488145532
"199",199,24.3971181035369,0.00177745929884734,75.6011044371643,75.6028818964631
"200",200,24.3970876306939,0.00163729058210797,75.601275078724,75.602912369306
