"","time","S","I","R","V","Total"
"1",1,99.4999,1e-04,0.5,0.5,1e-04
"2",2,98.9998673587788,0.00012159394819246,1.00001104727305,1,0.000132641221238608
"3",3,98.4998281279609,0.000147412487595562,1.50002445955153,1.5,0.000171872039128917
"4",4,97.9997811194654,0.000178185701614953,2.00004069483295,2,0.000218880534559969
"5",5,97.4997249596265,0.000214750747927346,2.50006028962557,2.5,0.000275040373499352
"6",6,96.9996580668102,0.000258063295378739,3.00008386989444,3,0.000341933189821521
"7",7,96.4995786266792,0.000309210012930613,3.5001121633079,3.5,0.000421373320829864
"8",8,95.9994845635111,0.000369422648522367,4.00014601384035,4,0.00051543648886927
"9",9,95.4993735126735,0.000440091130696567,4.50018639619584,4.5,0.000626487326533292
"10",10,94.999242789548,0.000522777923600388,5.00023443252839,5,0.000757210451992112
"11",11,94.499089356751,0.000619232707331725,5.50029141054169,5.5,0.000910643249019505
"12",12,93.9989097902655,0.000731406871412412,6.00035880286308,6,0.00109020973448969
"13",13,93.4987002440455,0.000861468007765009,6.50043828794676,6.5,0.00129975595452656
"14",14,92.9984564135425,0.0010118140473634,7.0005317724101,7,0.00154358645746211
"15",15,92.4981734984985,0.00118508675643679,7.50064141474506,7.5,0.00182650150149882
"16",16,91.9978461653468,0.00138418431252069,8.00076965034072,8,0.00215383465323787
"17",17,91.4974685096782,0.00161227261957331,8.50091921770218,8.5,0.00253149032175573
"18",18,90.9970340192726,0.00187279500450278,9.00109318572292,9,0.00296598072742221
"19",19,90.496535538256,0.00216947991376606,9.50129498183027,9.5,0.003464461744036
"20",20,89.9959652330086,0.0025063462075325,10.0015284207839,10,0.00403476699138753
"21",21,89.4953145604986,0.00288770563543964,10.501797733866,10.5,0.00468543950142105
"22",22,88.994574239769,0.00331816206990965,11.0021075981611,11,0.00542576023097687
"23",23,88.4937342273492,0.00380260707225602,11.5024631655786,11.5,0.0062657726508113
"24",24,87.992783697394,0.00434621137437202,12.0028700912316,12,0.00721630260601325
"25",25,87.4917110273815,0.00495441187533825,12.5033345607432,12.5,0.00828897261850155
"26",26,86.9905037902102,0.00563289377861139,13.0038633160112,13,0.00949620978977713
"27",27,86.4891487535369,0.00638756753212805,13.504463678931,13.5,0.0108512464630891
"28",28,85.9876318871799,0.00722454028106759,14.005143572539,14,0.0123681128200968
"29",29,85.4859383793807,0.00815008160135502,14.5059115390179,14.5,0.0140616206192446
"30",30,84.9840526625018,0.00917058344896039,15.0067767540492,15,0.0159473374981679
"31",31,84.4819584495291,0.0102925138280906,15.5077490366427,15.5,0.0180415504708337
"32",32,83.979638780983,0.0115223647834739,16.0088388542335,16,0.0203612190169726
"33",33,83.4770760830565,0.0128665946093282,16.5100573223341,16.5,0.0229239169434738
"34",34,82.9742522377842,0.0143315642328933,17.0114161979829,17,0.02574776221578
"35",35,82.4711486651251,0.0159234682961498,17.5129278665787,17.5,0.0288513348748792
"36",36,81.9677464169624,0.0176482614216487,18.014605321616,18,0.0322535830376012
"37",37,81.4640262830246,0.0195115801608725,18.5164621368145,18.5,0.0359737169753848
"38",38,80.9599689084265,0.0215186613179313,19.0185124302556,19,0.0400310915735345
"39",39,80.4555549223401,0.023674257457302,19.5207708202026,19.5,0.0444450776599254
"40",40,79.9507650771187,0.0259825505122868,20.023252372369,20,0.0492349228812873
"41",41,79.4455803969846,0.0284470645207926,20.5259725384946,20.5,0.0544196030154274
"42",42,78.9399823351913,0.0310705786100639,21.0289470861987,21,0.0600176648087165
"43",43,78.4339529383711,0.0338550414359933,21.5321920201929,21.5,0.0660470616289312
"44",44,77.927475016584,0.0368014883508001,22.0357234950652,22,0.0725249834159963
"45",45,77.4205323174073,0.0399099626225201,22.5395577199702,22.5,0.0794676825927025
"46",46,76.9131097022392,0.0431794420590626,23.0437108557018,23,0.0868902977608344
"47",47,76.4051933228493,0.04660777239632,23.5481989047543,23.5,0.0948066771506653
"48",48,75.8967707960904,0.0501916087923783,24.0530375951172,24,0.103229203909625
"49",49,75.3878313745945,0.0539263667270909,24.5582422586784,24.5,0.112168625405438
"50",50,74.8783661112231,0.0578061835374312,25.0638277052395,25,0.121633888776896
"51",51,74.3683680150111,0.0618238917239878,25.5698080932649,25.5,0.131631984988864
"52",52,73.857832196365,0.0659710050431468,26.0761967985919,26,0.142167803635023
"53",53,73.3467559993193,0.0702377182539713,26.5830062824267,26.5,0.153244000680696
"54",54,72.8351391187518,0.0746129212202017,27.090247960028,27,0.164860881248161
"55",55,72.3229837005817,0.0790842278784472,27.5979320715398,27.5,0.177016299418239
"56",56,71.8102944231444,0.0836380203763917,28.1060675564792,28,0.189705576855599
"57",57,71.2970785581371,0.0882595084631137,28.6146619333998,28.5,0.202921441862866
"58",58,70.783346009767,0.0929328039813163,29.1237211862517,29,0.216653990233019
"59",59,70.2691093309959,0.0976410100727069,29.6332496589313,29.5,0.230890669004044
"60",60,69.7543837160712,0.102366324467568,30.1432499594612,30,0.245616283928783
"61",61,69.2391869688389,0.107090155992576,30.6537228751685,30.5,0.260813031161068
"62",62,68.7235394466677,0.111793253202057,31.1646673001303,31,0.27646055333231
"63",63,68.2074639801435,0.116455843822072,31.6760801760344,31.5,0.292536019856446
"64",64,67.690985769038,0.121057783498641,32.1879564474634,32,0.309014230961993
"65",65,67.1741322553858,0.125578712165603,32.7002890324487,32.5,0.325867744614237
"66",66,66.6569329748351,0.129998216198026,33.2130688089669,33,0.343067025164879
"67",67,66.1394193877431,0.134295994397266,33.7262846178597,33.5,0.360580612256934
"68",68,65.6216246917745,0.138452025766594,34.2399232824589,34,0.378375308225522
"69",69,65.1035836180242,0.142446736983948,34.7539696449918,34.5,0.396416381975774
"70",70,64.5853322129076,0.146261167462189,35.2684066196302,35,0.414667787092428
"71",71,64.066907608254,0.14987712990778,35.7832152618383,35.5,0.433092391746038
"72",72,63.5483477821576,0.153277364368553,36.2983748534739,36,0.45165221784243
"73",73,63.0296913134095,0.156445683729347,36.8138630028612,36.5,0.470308686590551
"74",74,62.5109771320524,0.159367109011114,37.3296557589365,37,0.489022867947627
"75",75,61.9922442689728,0.162027992687712,37.8457277383395,37.5,0.50775573102723
"76",76,61.4735316072271,0.164416128602518,38.3620522641704,38,0.526468392772939
"77",77,60.9548776378137,0.166520847171709,38.8786015150146,38.5,0.545122362186277
"78",78,60.4363202224222,0.168333094872004,39.3953466827057,39,0.563679777577757
"79",79,59.917896365568,0.169845497209033,39.912258137223,39.5,0.582103634431979
"80",80,59.3996419983624,0.171052404605936,40.4293055970317,40,0.600358001637617
"81",81,58.8815917759265,0.171949920927704,40.9464583031458,40.5,0.618408224073486
"82",82,58.3637788902474,0.172535914579554,41.4636851951731,41,0.636221109752628
"83",83,57.8462348999957,0.172810012399772,41.9809550876045,41.5,0.653765100004259
"84",84,57.3289895785699,0.172773576778212,42.4982368446519,42,0.671010421430137
"85",85,56.8120707813478,0.172429666667894,43.0154995519843,42.5,0.687929218652181
"86",86,56.2955043328475,0.171782983357188,43.5327126837953,43,0.704495667152526
"87",87,55.7793139342192,0.170839802051135,44.0498462637296,43.5,0.72068606578078
"88",88,55.2635210912199,0.169607890473009,44.5668710183071,44,0.736478908780123
"89",89,54.7481450625558,0.168096415830032,45.0837585216142,44.5,0.751854937444238
"90",90,54.2332028282365,0.166315841593556,45.6004813301699,45,0.76679717176348
"91",91,53.7187090773528,0.164277815623193,46.117013107024,45.5,0.78129092264723
"92",92,53.2046762144836,0.16199505121578,46.6333287343006,46,0.795323785516429
"93",93,52.6911143837558,0.159481202684454,47.1494044135597,46.5,0.808885616244204
"94",94,52.1780315094185,0.156750737071382,47.6652177535101,47,0.821968490581456
"95",95,51.6654333516626,0.153818803571568,48.1807478447658,47.5,0.834566648337372
"96",96,51.1533235763084,0.150701102196408,48.6959753214952,48,0.84667642369158
"97",97,50.6417038369048,0.147413753136635,49.2108824099585,48.5,0.85829616309518
"98",98,50.1305738677272,0.143973168197431,49.7254529640754,49,0.869426132272819
"99",99,49.6199315861318,0.140395925576446,50.2396724882917,49.5,0.880068413868202
"100",100,49.1097732027175,0.136698649141065,50.7535281481414,50,0.890226797282469
"101",101,48.6000933377597,0.132897893237162,51.2670087690031,50.5,0.899906662240314
"102",102,48.0908851424155,0.129010033930737,51.7801048236538,51,0.90911485758454
"103",103,47.5821404232519,0.12505116744868,52.2928084092993,51.5,0.917859576748049
"104",104,47.0738497687147,0.121037016448168,52.8051132148371,52,0.926150231285296
"105",105,46.5660026762347,0.116982844608109,53.3170144791572,52.5,0.933997323765282
"106",106,46.0585876787625,0.112903379902781,53.8285089413347,53,0.941412321237546
"107",107,45.5515924696164,0.108812746789306,54.3395947835943,53.5,0.948407530383621
"108",108,45.0450040246387,0.104724407418412,54.8502715679428,54,0.954995975361281
"109",109,44.5388087207603,0.10065111186359,55.3605401673761,54.5,0.961191279239672
"110",110,44.0329924501879,0.0966048572582842,55.8704026925538,55,0.967007549812119
"111",111,43.5275407295382,0.0925968556350383,56.3798624148267,55.5,0.972459270461803
"112",112,43.0224388033547,0.0886375101752689,56.88892368647,56,0.977561196645265
"113",113,42.5176717415488,0.0847363995038273,57.3975918589474,56.5,0.982328258451241
"114",114,42.013224530411,0.0809022695989785,57.90587319999,57,0.986775469588958
"115",115,41.5090821569382,0.0771430328358277,58.4137748102259,57.5,0.990917843061757
"116",116,41.0052296863103,0.0734657736394263,58.9213045400503,58,0.994770313689691
"117",117,40.5016523324412,0.0698767601917513,59.428470907367,58.5,0.998347667558791
"118",118,39.998335521603,0.06638146161606,59.935283016781,59,1.00166447839705
"119",119,39.4952649491935,0.0629845700491852,60.4417504807574,59.5,1.00473505080654
"120",120,38.9924266297844,0.0596900270075472,60.9478833432081,60,1.00757337021563
"121",121,38.4898069406374,0.0565010534579042,61.4536920059047,60.5,1.01019305936258
"122",122,37.987392658926,0.0534201830144586,61.9591871580595,61,1.01260734107396
"123",123,37.48517099294,0.0504492977004971,62.4643797093595,61.5,1.01482900706001
"124",124,36.9831296075828,0.0475896657353497,62.9692807266818,62,1.0168703924172
"125",125,36.4812566444978,0.0448419808342873,63.4739013746679,62.5,1.01874335550216
"126",126,35.9795407371779,0.0422064025394385,63.9782528602826,63,1.02045926282207
"127",127,35.4779710214267,0.0396825971331551,64.4823463814401,63.5,1.0220289785733
"128",128,34.9765371415475,0.0372697787207352,64.9861930797318,64,1.02346285845252
"129",129,34.4752292526381,0.0349667501063289,65.4898039972555,64.5,1.02477074736185
"130",130,33.9740380193682,0.0327719431235626,65.9931900375082,65,1.02596198063181
"131",131,33.4729546116086,0.0306834581203312,66.4963619302711,65.5,1.02704538839145
"133",132,33.4719039741273,0.0286353575991283,66.4992606682735,65.5,1.02799602587267
"134",133,33.4709720229438,0.02679678405414,66.502031193002,65.5,1.02892797705616
"135",134,33.4700999853076,0.0250761321987993,66.5046238824936,65.5,1.0298000146924
"136",135,33.4692840257352,0.0234658872376302,66.5070500870271,65.5,1.03061597426475
"137",136,33.4685205320017,0.021958967677605,66.5093205003207,65.5,1.03137946799829
"138",137,33.4678061304576,0.0205487558698024,66.5114451136726,65.5,1.03209386954243
"139",138,33.4671376655601,0.0192290587097727,66.5134332757302,65.5,1.03276233443995
"140",139,33.4665121801648,0.0179940696887166,66.5152937501465,65.5,1.03338781983523
"141",140,33.4659269092711,0.0168383570426725,66.5170347336862,65.5,1.03397309072891
"142",141,33.4653792667278,0.0157568381131289,66.5186638951591,65.5,1.03452073327222
"143",142,33.4648668318289,0.0147447535077328,66.5201884146634,65.5,1.03503316817113
"144",143,33.4643873399573,0.0137976490236148,66.5216150110191,65.5,1.03551266004268
"145",144,33.463938672577,0.0129113562855627,66.5229499711374,65.5,1.03596132742297
"146",145,33.4635188473863,0.0120819736762834,66.5241991789375,65.5,1.03638115261374
"147",146,33.4631260096474,0.0113058495181788,66.5253681408344,65.5,1.03677399035255
"148",147,33.4627584239755,0.0105795661241648,66.5264620099004,65.5,1.03714157602456
"149",148,33.462414466645,0.00989992484009394,66.5274856085149,65.5,1.03748553335499
"150",149,33.4620926183992,0.00926393204583713,66.5284434495549,65.5,1.03780738160076
"151",150,33.4617914577201,0.00866878604249641,66.5293397562374,65.5,1.03810854227993
"152",151,33.4615096545342,0.00811186477621566,66.5301784806896,65.5,1.03839034546581
"153",152,33.4612459643228,0.00759071433938534,66.5309633213378,65.5,1.03865403567721
"154",153,33.4609992226098,0.0071030382018344,66.5316977391884,65.5,1.03890077739021
"155",154,33.4607683398248,0.00664668716570092,66.5323849730095,65.5,1.03913166017519
"156",155,33.4605522964705,0.00621964990920703,66.5330280536203,65.5,1.03934770352951
"157",156,33.4603501386076,0.00582004414616965,66.5336298172462,65.5,1.03954986139239
