"","time","S","I","R","Total"
"100043",1000,185185.192323332,3.12683084083559e-28,814814.807676667,81.481480767667
"100044",1000,181818.181643573,2.19795486517401e-28,818181.818356427,81.8181818356427
"100045",1000,178571.422084024,1.56490501203054e-28,821428.577915975,82.1428577915977
"100046",1000,175438.585105147,1.12785573796223e-28,824561.414894855,82.4561414894854
"100047",1000,172413.896610852,8.21494852957262e-29,827586.103389149,82.7586103389149
"100048",1000,169491.622478447,6.05301995486048e-29,830508.377521552,83.0508377521553
"100049",1000,166666.752667377,4.50653203191904e-29,833333.247332622,83.3333247332623
"100050",1000,163934.502018708,3.38779498063339e-29,836065.497981291,83.6065497981293
"100051",1000,161290.388766543,2.56145865228463e-29,838709.611233457,83.8709611233456
"100052",1000,158730.215740641,1.95990805893957e-29,841269.784259357,84.1269784259358
"100053",1000,156250.047727998,1.51401706956851e-29,843749.952272002,84.3749952272001
"100054",1000,153846.192321193,1.17867462906601e-29,846153.807678806,84.6153807678807
"100055",1000,151515.180829408,9.21089568179962e-30,848484.819170591,84.8484819170592
"100056",1000,149253.751509574,7.2734668450523e-30,850746.248490424,85.0746248490426
"100057",1000,147058.834492245,5.77073231395369e-30,852941.165507756,85.2941165507753
"100058",1000,144927.537875901,4.62179805377959e-30,855072.462124099,85.5072462124098
"100059",1000,142857.135013637,3.72460015657657e-30,857142.864986362,85.7142864986363
"100060",1000,140845.052874504,3.01213868871942e-30,859154.947125497,85.9154947125497
"100061",1000,138888.861375,2.45570420097464e-30,861111.138625,86.1111138624999
"100062",1000,136986.263587559,2.00911526454881e-30,863013.73641244,86.3013736412443
"100063",1000,135135.086743081,1.65709316283501e-30,864864.913256919,86.4864913256922
"100064",1000,133333.273953343,1.3697804789889e-30,866666.726046656,86.6666726046657
"100065",1000,131578.876586972,1.14153192579889e-30,868421.123413029,86.8421123413028
"100066",1000,129870.06973314,9.54867523023838e-31,870129.93026686,87.012993026686
"100067",1000,128205.056773922,8.00521922609225e-31,871794.943226076,87.1794943226077
"100068",1000,126582.195019807,6.74031875469824e-31,873417.804980192,87.3417804980192
"100069",1000,124999.903980338,5.72302083841616e-31,875000.096019662,87.5000096019661
"100070",1000,123456.680990227,4.85706269277192e-31,876543.319009771,87.6543319009771
"100071",1000,121951.098359582,4.15949425857555e-31,878048.901640418,87.8048901640417
"100072",1000,120481.80241088,3.55740025302742e-31,879518.197589119,87.9518197589121
"100073",1000,119047.489176704,3.05907676912416e-31,880952.510823297,88.0952510823296
"100074",1000,117646.924758091,2.64645511454853e-31,882353.075241908,88.235307524191
"100075",1000,116278.931474679,2.29089957033747e-31,883721.068525321,88.3721068525321
"100076",1000,114942.386173054,1.98866574596618e-31,885057.613826944,88.5057613826946
"100077",1000,113636.216751857,1.73819052365697e-31,886363.783248142,88.6363783248142
"100078",1000,112359.399293685,1.51913801507522e-31,887640.600706316,88.7640600706315
"100079",1000,111110.956994306,1.3300778198131e-31,888889.043005694,88.8889043005695
"100080",1000,109889.953599054,1.16996512486487e-31,890110.046400944,89.0110046400944
"100081",1000,108695.49613062,1.03484128603351e-31,891304.503869378,89.1304503869379
"100082",1000,107526.727560479,9.15141440292095e-32,892473.272439519,89.2473272439519
"100083",1000,106382.826376722,8.10949716202906e-32,893617.173623278,89.3617173623277
"100084",1000,105263.007290348,7.20659888650648e-32,894736.992709651,89.4736992709652
"100085",1000,104166.517732699,6.41993878971156e-32,895833.482267302,89.5833482267301
"100086",1000,103092.636168855,5.73013539604953e-32,896907.363831146,89.6907363831146
"100087",1000,102040.67051426,5.13064440235606e-32,897959.329485742,89.7959329485739
"100088",1000,101009.956647339,4.61596676010262e-32,898990.04335266,89.899004335266
"100089",1000,99999.8570113404,4.15241215883573e-32,900000.142988658,90.000014298866
