"","time","S","I","R","V","Total"
"30",30,96.9562206639742,0.028843746954888,3.01493558907098,3,0.043779336025871
"31",31,96.8469826673527,0.0349038984926616,3.11811343415471,3.1,0.0530173326473755
"32",32,96.7358183534593,0.04222334698691,3.22195829955382,3.2,0.0641816465407313
"33",33,96.6223308598397,0.0510605013050273,3.32660863885526,3.3,0.0776691401602925
"34",34,96.5060427610354,0.061725961380016,3.43223127758464,3.4,0.0939572389646623
"35",35,96.3863800504346,0.0745928172644724,3.53902713230092,3.5,0.113619949565396
"36",36,96.2626530463431,0.0901088991475007,3.64723805450945,3.6,0.137346953656951
"37",37,96.1340336722249,0.108811316738342,3.75715501103681,3.7,0.165966327775158
"38",38,95.9995284794515,0.131343671932252,3.86912784861629,3.8,0.200471520548539
"39",39,95.8579466947676,0.158476374122674,3.98357693110971,3.9,0.242053305232385
"40",40,95.7078624879261,0.191130529209826,4.10100698286413,4,0.292137512073954
"41",41,95.5475705740491,0.230405905429465,4.22202352052146,4.1,0.352429425950924
"42",42,95.3750342005378,0.277613492671343,4.34735230679082,4.2,0.424965799462162
"43",43,95.1878245354441,0.334313153772137,4.47786231078378,4.3,0.512175464555917
"44",44,94.9830504962913,0.402356797275507,4.61459270643324,4.4,0.616949503708747
"45",45,94.7572781686742,0.483937354412388,4.75878447691344,4.5,0.742721831325832
"46",46,94.506439209283,0.581643581401906,4.91191720931511,4.6,0.893560790717015
"47",47,94.2257280721319,0.698520281635001,5.07575164623316,4.7,1.07427192786816
"48",48,93.9094886245149,0.838132885701902,5.25237848978319,4.8,1.2905113754851
"49",49,93.5510918392972,1.00463435878203,5.44427380192077,4.9,1.54890816070281
"50",50,93.1428078957893,1.2028310273488,5.65436107686194,5,1.85719210421074
"51",51,92.6756783455565,1.43824202376242,5.88607963068111,5.1,2.22432165444353
"52",52,92.1393971599761,1.7171445370065,6.14345830301741,5.2,2.66060284002391
"53",53,91.5222136048538,2.04659386435996,6.43119253078625,5.3,3.17778639514621
"54",54,90.8108750328918,2.43440340157552,6.75472156553272,5.4,3.78912496710824
"55",55,89.990633722107,2.88906537227221,7.12030090562078,5.5,4.50936627789299
"56",56,89.0453483848798,3.41958874109147,7.53506287402875,5.6,5.35465161512022
"57",57,87.9577170159147,4.03522725424198,8.00705572984337,5.7,6.34228298408535
"58",58,86.7096817601952,4.74506933146657,8.54524890833824,5.8,7.4903182398048
"59",59,85.2830460866671,5.55746464704786,9.15948926628511,5.9,8.81695391333298
"60",60,83.6603366136676,6.47927226157576,9.86039112475674,6,10.3396633863325
"61",61,81.8259229498221,7.51493477230219,10.6591422778757,6.1,12.0740770501779
"62",62,79.7673759832534,8.66541398143944,11.5672100353073,6.2,14.0326240167467
"63",63,77.4769974768817,9.92706558778585,12.5959369353325,6.3,16.2230025231184
"64",64,74.953395218436,11.2905788646128,13.7560259169513,6.4,18.646604781564
"65",65,72.202918114596,12.7401522165334,15.0569296688706,6.5,21.2970818854041
"66",66,69.2407208195412,14.2531016771622,16.5061775032966,6.6,24.1592791804589
"67",67,66.0912179138686,15.8000894030689,18.1086926830626,6.7,27.2087820861314
"68",68,62.7877308698957,17.3460998169122,19.8661693131921,6.8,30.4122691301044
"69",69,59.3712330700556,18.852181360895,21.7765855690495,6.9,33.7287669299445
"70",70,55.8882458728943,20.2778292797365,23.8339248473692,7,37.1117541271057
"71",71,52.3880989274782,21.5837443390176,26.0281567335043,7.1,40.5119010725219
"72",72,48.919896156322,22.7346060456771,28.345497798001,7.2,43.8801038436781
"73",73,45.5295859052215,23.7014797003846,30.7689343943939,7.3,47.1704140947786
"74",74,42.2575023696198,24.4635433942829,33.2789542360974,7.4,50.3424976303803
"75",75,39.1366374784871,25.0089541035356,35.8544084179774,7.5,53.363362521513
"76",76,36.1917532651414,25.3348313056203,38.4734154292384,7.6,56.2082467348587
"77",77,33.439297574723,25.4464784682698,41.1142239570073,7.7,58.8607024252772
"78",78,30.8879753679641,25.3560561781955,43.7559684538405,7.8,61.312024632036
"79",79,28.5397702881909,25.0809547310573,46.3792749807519,7.9,63.5602297118092
"80",80,26.3912044712921,24.6420964462372,48.9666990824707,8,65.608795528708
"81",81,24.4346545833439,24.0623472902736,51.5029981263826,8.1,67.4653454166562
"82",82,22.6595906859167,23.3651539536929,53.9752553603904,8.2,69.1404093140834
"83",83,21.0536561510069,22.5734623625174,56.3728814864757,8.3,70.6463438489932
"84",84,19.6035513463447,21.7089260056223,58.6875226480331,8.4,71.9964486536554
"85",85,18.2957166591114,20.7913804985102,60.9129028423784,8.5,73.2042833408887
"86",86,17.1168312481767,19.838543323487,63.0446254283364,8.6,74.2831687518235
"87",87,16.0541546684177,18.8658914316903,65.0799538998921,8.7,75.2458453315825
"89",88,15.1929997800026,17.8892129446808,66.9175872753165,8.7,76.1069002199974
"90",89,14.4200861661227,16.921689629217,68.6580242046602,8.7,76.8798138338773
"91",90,13.7259444829138,15.971350730701,70.3025047863852,8.7,77.5739555170861
"92",91,13.1020664858399,15.0446542555616,71.8530792585985,8.7,78.1978335141601
"93",92,12.5408388931189,14.1465796105977,73.3123814962834,8.7,78.7590611068811
"94",93,12.035462817108,13.2808674674912,74.6834697154008,8.7,79.264437182892
"95",94,11.579887569052,12.450191995923,75.969720435025,8.7,79.720012430948
"96",95,11.1687452558363,11.6563202723956,77.1747344717681,8.7,80.1311547441637
"97",96,10.7972765323115,10.9002754056298,78.3022480620587,8.7,80.5026234676885
"98",97,10.4612645269491,10.1824689054944,79.3560665675565,8.7,80.8386354730509
"99",98,10.1569771356156,9.50280865838684,80.3400142059976,8.7,81.1429228643844
"100",99,9.88110878893133,8.86080697072654,81.2578842403421,8.7,81.4187912110687
"101",100,9.63073048244978,8.25566472651449,82.1134047910357,8.7,81.6691695175502
"102",101,9.4032448558606,7.68634363129979,82.9102115128396,8.7,81.8966551441394
"103",102,9.19634672586491,7.15162627760294,83.6518269965321,8.7,82.1035532741351
"104",103,9.00798777318547,6.65016689908071,84.3416453277338,8.7,82.2919122268145
"105",104,8.83634559458053,6.18053316764414,84.9829212377753,8.7,82.4635544054195
"106",105,8.67979662003753,5.741240054133,85.5787633258295,8.7,82.6201033799625
"107",106,8.53689241450398,5.33077733457291,86.1321302509231,8.7,82.763007585496
"108",107,8.40633889427781,4.94763177005902,86.6458293356632,8.7,82.8935611057222
"109",108,8.2869781646701,4.59030465807703,87.1225171772529,8.7,83.0129218353299
"110",109,8.17777264456232,4.2573255408173,87.5647018146204,8.7,83.1221273554377
"111",110,8.07779118455392,3.94726271315346,87.9747461022926,8.7,83.2221088154461
"112",111,7.98619692180753,3.65873107890405,88.3548719992884,8.7,83.3137030781925
"113",112,7.90223664675486,3.39039782344552,88.7071655297996,8.7,83.3976633532452
"114",113,7.82523148410666,3.14098629691176,89.0335822189816,8.7,83.4746685158934
"115",114,7.75456871656134,2.90927844174666,89.335952841692,8.7,83.5453312834387
"116",115,7.68969460198145,2.69411604494105,89.6159893530775,8.7,83.6102053980186
"117",116,7.63010805461834,2.49440104979557,89.8752908955861,8.7,83.6697919453817
"118",117,7.57535507829111,2.30909512326872,90.1153497984402,8.7,83.7245449217089
"119",118,7.52502385449379,2.13721864196279,90.3375575035434,8.7,83.7748761455062
"120",119,7.47874040148935,1.97784923185854,90.5432103666521,8.7,83.8211595985107
"121",120,7.43616473177017,1.83011997328883,90.733515294941,8.7,83.8637352682299
"122",121,7.39698744504593,1.69321736273513,90.9095951922189,8.7,83.9029125549541
"123",122,7.36092670235931,1.56637910629449,91.0724941913462,8.7,83.9389732976407
"124",123,7.32772553420558,1.44889180562633,91.2231826601681,8.7,83.9721744657945
"125",124,7.29714944180112,1.34008858544369,91.3625619727552,8.7,84.0027505581989
"126",125,7.26898425604713,1.23934670181064,91.4914690421422,8.7,84.0309157439529
"127",126,7.2430342233886,1.14608516234827,91.6106806142631,8.7,84.0568657766114
"128",127,7.21912029177914,1.05976238267995,91.7209173255409,8.7,84.0807797082209
"129",128,7.19707857342115,0.979873897843735,91.8228475287351,8.7,84.1028214265789
"130",129,7.17675896393494,0.905950142781443,91.9170908932836,8.7,84.1231410360651
"131",130,7.15802390018723,0.837554312221706,92.0042217875911,8.7,84.1418760998128
"132",131,7.14074724123705,0.774280307175571,92.0847724515874,8.7,84.159152758763
"133",132,7.12481325878396,0.715750772744588,92.1592359684714,8.7,84.1750867412161
"134",133,7.11011572517264,0.661615229907595,92.2280690449198,8.7,84.1897842748274
"135",134,7.0965570884555,0.611548302322859,92.2916946092216,8.7,84.2033429115446
"136",135,7.0840477252715,0.565248037889041,92.3505042368395,8.7,84.2158522747286
"137",136,7.07250526339228,0.522434323794184,92.4048604128135,8.7,84.2273947366078
"138",137,7.06185396673794,0.482847392998624,92.4550986402634,8.7,84.2380460332621
"139",138,7.05202417649422,0.446246419504695,92.5015294040011,8.7,84.2478758235059
"140",139,7.04295180268739,0.412408199329546,92.5444399979831,8.7,84.2569481973127
"141",140,7.03457786120616,0.381125913788694,92.5840962250052,8.7,84.2653221387939
"142",141,7.02684805181533,0.352207971493342,92.6207439766913,8.7,84.2730519481848
"143",142,7.01971237319216,0.325476925344081,92.6546107014638,8.7,84.2801876268079
"144",143,7.01312477144442,0.30076846075069,92.6859067678049,8.7,84.2867752285557
"145",144,7.00704281894569,0.27793045130865,92.7148267297457,8.7,84.2928571810544
"146",145,7.00142742065526,0.256822078206092,92.7415505011386,8.7,84.2984725793448
"147",146,6.99624254538318,0.237313009710809,92.766244444906,8.7,84.3036574546169
"148",147,6.99145497972057,0.219282637187772,92.7890623830916,8.7,84.3084450202795
"149",148,6.98703410258473,0.202619364216907,92.8101465331984,8.7,84.3128658974153
"150",149,6.98295167853307,0.187219945513353,92.8296283759536,8.7,84.316948321467
"151",150,6.97918166818083,0.172988872493846,92.8476294593253,8.7,84.3207183318193
"152",151,6.97570005421933,0.159837802479655,92.864262143301,8.7,84.3241999457808
"153",152,6.97248468167551,0.147685028675897,92.8796302896486,8.7,84.3274153183246
"154",153,6.96951511118228,0.136454988216867,92.8938299006008,8.7,84.3303848888178
"155",154,6.96677248414441,0.126077805715366,92.9069497101402,8.7,84.3331275158557
"156",155,6.96423939878782,0.11648886989969,92.9190717313125,8.7,84.3356606012123
"157",156,6.9618997961732,0.107628441063699,92.9302717627631,8.7,84.3380002038269
"158",157,6.95973885533765,0.0994412871926587,92.9406198574697,8.7,84.3401611446624
"159",158,6.9577428968037,0.0918763467595876,92.9501807564367,8.7,84.3421571031964
"160",159,6.95589929376206,0.0848864163133496,92.9590142899246,8.7,84.344000706238
"161",160,6.95419639029606,0.0784278611004926,92.9671757486035,8.7,84.345703609704
"162",161,6.9526234260706,0.0724603470776288,92.9747162268518,8.7,84.3472765739295
"163",162,6.95117046695844,0.0669465927800378,92.9816829402615,8.7,84.3487295330417
"164",163,6.94982834112203,0.06185213961514,92.9881195192628,8.7,84.3500716588781
"165",164,6.94858858011002,0.0571451392466555,92.9940662806433,8.7,84.3513114198901
"166",165,6.94744336456504,0.052796156826763,92.9995604786082,8.7,84.3524566354351
"167",166,6.94638547417292,0.0487779889195923,93.0046365369075,8.7,84.3535145258272
"168",167,6.94540824151494,0.0450654950401129,93.0093262634449,8.7,84.3544917584852
"169",168,6.94450550951213,0.0416354418081408,93.0136590486797,8.7,84.355394490488
"170",169,6.94367159217681,0.0384663587880061,93.0176620490352,8.7,84.3562284078233
"171",170,6.94290123840975,0.0355384051506338,93.0213603564396,8.7,84.3569987615903
"172",171,6.94218959860259,0.0328332463566295,93.0247771550408,8.7,84.3577104013975
"173",172,6.9415321938248,0.0303339401166612,93.0279338660585,8.7,84.3583678061753
"174",173,6.94092488739235,0.0280248309392255,93.0308502816684,8.7,84.3589751126077
"175",174,6.94036385863152,0.0258914526259977,93.0335446887425,8.7,84.3595361413686
"176",175,6.9398455786662,0.0239204381216204,93.0360339832121,8.7,84.3600544213339
"177",176,6.93936678807095,0.0220994361681883,93.0383337757608,8.7,84.3605332119291
"178",177,6.93892447624438,0.0204170342550406,93.0404584895006,8.7,84.3609755237557
"179",178,6.9385158623692,0.0188626873919814,93.0424214502388,8.7,84.3613841376309
"180",179,6.93813837783578,0.0174266522688813,93.0442349698953,8.7,84.3617616221643
"181",180,6.93778965001566,0.0160999263969572,93.0459104235873,8.7,84.3621103499844
"182",181,6.93746748728067,0.0148741918570494,93.0474583208622,8.7,84.3624325127194
"183",182,6.9371698651712,0.0137417633080613,93.0488883715207,8.7,84.3627301348289
"184",183,6.93689491362499,0.0126955399345566,93.0502095464404,8.7,84.3630050863751
"185",184,6.93664090518454,0.0117289610364564,93.051430133779,8.7,84.3632590948155
"186",185,6.9364062441078,0.0108359649859749,93.0525577909062,8.7,84.3634937558923
"187",186,6.93618945631244,0.0100109512975003,93.05359959239,8.7,84.3637105436876
"188",187,6.93598918008975,0.00924874557518202,93.054562074335,8.7,84.3639108199103
"189",188,6.93580415752887,0.00854456712063536,93.0554512753504,8.7,84.3640958424712
"190",189,6.93563322659685,0.00789399899951809,93.0562727744036,8.7,84.3642667734032
"191",190,6.93547531382412,0.00729296038086526,93.057031725795,8.7,84.364424686176
"192",191,6.93532942754898,0.00673768097707721,93.0577328914739,8.7,84.3645705724511
"193",192,6.93519465167829,0.00622467742542065,93.0583806708962,8.7,84.3647053483218
"194",193,6.93507013992462,0.00575073146390143,93.0589791286114,8.7,84.3648298600755
"195",194,6.93495511048358,0.00531286976546971,93.0595320197509,8.7,84.3649448895165
"196",195,6.93484884111748,0.00490834530479061,93.0600428135777,8.7,84.3650511588826
"197",196,6.93475066461428,0.00453462014131519,93.0605147152444,8.7,84.3651493353858
"198",197,6.93465996459309,0.00418934951117695,93.0609506858957,8.7,84.365240035407
"199",198,6.93457617162976,0.00387036712856833,93.0613534612416,8.7,84.3653238283703
"200",199,6.93449875967802,0.00357567160477042,93.0617255687172,8.7,84.365401240322
"201",200,6.93442724276367,0.00330341389996188,93.0620693433363,8.7,84.3654727572364
