"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"97",97,26.3664717918554,6.99259456780532,66.6409336403393,73.6335282081446,-17.9877332798973,1.97960586891605,16.0081274109812,17.9877332798973
"98",98,26.1909915882192,6.494012136781,67.3149962749998,73.8090084117808,-18.0267288825018,1.82829936878176,16.19842951372,18.0267288825017
"99",99,26.0323002034324,6.02691413927872,67.9407856572889,73.9676997965676,-18.0620081111688,1.68785866230232,16.3741494488665,18.0620081111688
"100",100,25.8886483929254,5.5899673927176,68.521384214357,74.1113516070745,-18.0940000382555,1.55765751056996,16.5363425276855,18.0940000382555
"101",101,25.7584846344111,5.18177762559671,69.0597377399922,74.2415153655889,-18.1230717246902,1.43707033284404,16.6860013918461,18.1230717246902
"102",102,25.6404314862771,4.80091776479903,69.5586507489239,74.3595685137228,-18.1495388003572,1.32548224507546,16.8240565552817,18.1495388003572
"103",103,25.5332648075548,4.44595081054052,70.0207843819047,74.4667351924452,-18.1736740614794,1.22229616411103,16.9513778973683,18.1736740614794
"104",104,25.4358955134237,4.11544812407369,70.4486563625026,74.5641044865763,-18.1957145349648,1.12693784158759,17.0687766933772,18.1957145349648
"105",105,25.3473535690004,3.80800384731529,70.8446425836843,74.6526464309996,-18.2158672345368,1.03885914504212,17.1770080894947,18.2158672345368
"106",106,25.2667739532938,3.52224607741543,71.2109799692907,74.7332260467062,-18.2343138957047,0.957540084574069,17.2767738111306,18.2343138957047
"107",107,25.1933843534261,3.25684533315413,71.5497703134197,74.8066156465738,-18.2512148460467,0.8824898123264,17.3687250337203,18.2512148460467
"108",108,25.1264943757919,3.01052077368638,71.8629848505217,74.8735056242081,-18.2667121876962,0.813246868490665,17.4534653192055,18.2667121876962
"109",109,25.0654860853734,2.78204456299229,72.1524693516343,74.9345139146265,-18.2809324196476,0.749378878288173,17.5315535413594,18.2809324196476
"110",110,25.0098057067854,2.57024471469971,72.4199495785149,74.9901942932146,-18.2939886076717,0.690481844522317,17.6035067631493,18.2939886076717
"111",111,24.9589563407713,2.37400670094085,72.6670369582878,75.0410436592286,-18.3059821858884,0.636179159621405,17.669803026267,18.3059821858884
"112",112,24.9124915678948,2.1922740647791,72.8952343673261,75.0875084321052,-18.3170044600389,0.586120427427078,17.7308840326118,18.3170044600389
"113",113,24.8700098271827,2.02404823772222,73.1059419350951,75.1299901728172,-18.3271378679785,0.53998016658686,17.7871577013916,18.3271378679785
"114",114,24.8311494716434,1.86838773119593,73.3004627971607,75.1688505283566,-18.3364570423396,0.497456449504954,17.8390005928347,18.3364570423396
"115",115,24.7955844150605,1.72440684291788,73.4800087420216,75.2044155849394,-18.3450297115909,0.458269517180831,17.8867601944101,18.3450297115909
"116",116,24.7630202954271,1.5912739952813,73.6457057092916,75.2369797045729,-18.3529174685718,0.422160400014713,17.930757068557,18.3529174685718
"117",117,24.7331910899809,1.46820980258593,73.7985991074331,75.266808910019,-18.3601764299739,0.388889566224592,17.9712868637493,18.3601764299739
"118",118,24.7058561252022,1.35448494676015,73.9396589280377,75.2941438747978,-18.3668578056674,0.358235613229199,18.0086221924382,18.3668578056674
"119",119,24.6807974324527,1.24941792667616,74.0697846408711,75.3192025675473,-18.3730083931351,0.329994012403217,18.0430143807319,18.3730083931351
"120",120,24.657817406326,1.15237273389724,74.1898098597767,75.342182593674,-18.3786710093619,0.30397591385095,18.0746950955109,18.3786710093619
"121",121,24.6367367283291,1.06275649738581,74.3005067742851,75.3632632716709,-18.3838848701908,0.280007015001845,18.1038778551889,18.3838848701908
"122",122,24.6173925233521,0.980017131060675,74.4025903455872,75.3826074766478,-18.3886859252907,0.257926494689565,18.1307594306011,18.3886859252907
"123",123,24.5996367205819,0.903641010874792,74.4967222685434,75.4003632794181,-18.3931071553838,0.237586012800162,18.1555211425836,18.3931071553838
"124",124,24.583334594161,0.833150702079474,74.5835147037595,75.4166654058389,-18.3971788371832,0.218848774427008,18.1783300627561,18.3971788371832
"125",125,24.5683634620651,0.768102752363731,74.6635337855711,75.4316365379348,-18.4009287804792,0.201588656589796,18.1993401238893,18.4009287804792
"126",126,24.5546115244164,0.708085562451005,74.7373029131326,75.4453884755835,-18.4043825414265,0.185689395460062,18.2186931459663,18.4043825414265
"127",127,24.5419768248419,0.652717342364921,74.8053058327932,75.4580231751581,-18.4075636143181,0.17104383052345,18.2365197837945,18.4075636143181
"128",128,24.5303663205532,0.601644158825225,74.8679895206216,75.4696336794468,-18.4104936050872,0.157553203314086,18.2529404017731,18.4104936050872
"129",129,24.5196950486262,0.554538077005894,74.9257668743679,75.4803049513737,-18.4131923890539,0.145126507735868,18.2680658813179,18.4131923890539
"130",130,24.5098853775173,0.511095398095359,74.9790192243873,75.4901146224826,-18.4156782538775,0.133679888267054,18.2819983656103,18.4156782538775
"131",131,24.500866334213,0.471034992672154,75.0280986731148,75.4991336657869,-18.4179680297437,0.123136083306761,18.2948319464369,18.4179680297437
"132",132,24.4925729986003,0.434096728773312,75.0733302726264,75.5074270013997,-18.4200772081539,0.113423910642546,18.3066532975113,18.4200772081539
"133",133,24.484945957557,0.400039992734821,75.1150140497082,75.515054042443,-18.4220200503527,0.104477792063632,18.317542258289,18.4220200503527
"134",134,24.4779308125026,0.368642300077538,75.1534268874198,75.5220691874973,-18.4238096866562,0.0962373144567148,18.3275723721994,18.4238096866562
"135",135,24.4714777344753,0.339697993375348,75.1888242721494,75.5285222655247,-18.4254582073717,0.0886468246957944,18.3368113826758,18.4254582073717
"136",136,24.4655410615723,0.313017023606405,75.2214419148212,75.5344589384276,-18.4269767459834,0.0816550558838682,18.3453216900995,18.4269767459835
"137",137,24.4600789345822,0.288423811300434,75.2514972541173,75.5399210654177,-18.4283755555872,0.0752147826073958,18.3531607729798,18.4283755555872
"138",138,24.455052966712,0.265756183631839,75.2791908496562,75.544947033288,-18.4296640790441,0.0692825030373052,18.3603815760067,18.4296640790441
"139",139,24.4504279439182,0.244864383551514,75.3047076725303,75.5495720560818,-18.430851013405,0.0638181458482776,18.3670328675566,18.430851013405
